ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",219464,0.0171,0.3835,0.6165,0,171159,0.8185,0.1815,0.0827,0.0541,0.0212,0.0223,0.0012,
"2",213860,-0.0089,0.3538,0.6462,0,171233,0.8308,0.1692,0.084,0.0498,0.0225,0.0163,0.0013,
"3",213402,-0.011,0.3911,0.6089,0,171522,0.8643,0.1357,0.0281,0.0693,0.0166,0.0191,0.0013,
"4",220600,0.0223,0.4843,0.5157,0,174441,0.7424,0.2576,0.0474,0.1575,0.0319,0.0204,0.0011,
"5",219146,0.0156,0.3825,0.6175,0,182838,0.856,0.144,0.0265,0.0484,0.0488,0.0168,0.0009,
"6",213557,-0.0103,0.2913,0.7087,0,174280,0.9313,0.0687,0.0121,0.0315,0.0054,0.017,0.0009,
"7",217620,0.0085,0.3701,0.6299,0,175743,0.8233,0.1767,0.0352,0.1171,0.0064,0.017,0.001,
"8",214868,-0.0042,0.3445,0.6555,0,172146,0.7642,0.2358,0.0306,0.164,0.0197,0.0188,0.0011,
"9",214702,-0.005,0.4681,0.5319,0,173829,0.6087,0.3913,0.0261,0.3453,0.0077,0.0145,0.0007,
"10",214277,-0.007,0.3898,0.6102,0,174465,0.7507,0.2493,0.0298,0.1857,0.0132,0.0187,0.0012,
"11",214453,-0.0062,0.5752,0.4248,0,173053,0.726,0.274,0.0531,0.1307,0.0721,0.017,0.0012,
"12",219101,0.0154,0.3962,0.6038,0,167210,0.719,0.281,0.0497,0.1668,0.0484,0.0173,0.0014,
"13",213623,-0.01,0.6532,0.3468,0,170323,0.4115,0.5885,0.0511,0.506,0.0165,0.022,0.0023,
"14",219881,0.019,0.7731,0.2269,0,183494,0.4939,0.5061,0.0488,0.404,0.045,0.0157,0.0015,
"15",219647,0.0179,0.616,0.384,0,165046,0.3931,0.6069,0.1695,0.3939,0.0351,0.0225,0.0017,
"16",218175,0.0111,0.4587,0.5413,0,167908,0.6255,0.3745,0.0643,0.1534,0.1405,0.0138,0.0013,
"17",216724,0.0044,0.5578,0.4422,0,172544,0.515,0.485,0.0304,0.4221,0.0186,0.0191,0.0019,
"18",213095,-0.0125,0.6528,0.3472,0,162070,0.4427,0.5573,0.0569,0.4527,0.0344,0.0241,0.0032,
"19",212136,-0.0169,0.3993,0.6007,0,164113,0.6858,0.3142,0.0622,0.1667,0.0669,0.0218,0.0041,
"20",217760,0.0092,0.458,0.542,0,174267,0.6987,0.3013,0.0703,0.1667,0.0464,0.0216,0.0037,
"21",214208,-0.0073,0.7557,0.2443,0,172078,0.4119,0.5881,0.088,0.4389,0.0544,0.0228,0.0048,
"22",214017,-0.0082,0.5632,0.4368,0,164146,0.4961,0.5039,0.0826,0.283,0.1291,0.0228,0.005,
"23",215570,-0.001,0.7221,0.2779,0,169229,0.376,0.624,0.0654,0.5124,0.039,0.0243,0.0038,
"24",211657,-0.0191,0.5068,0.4932,0,164257,0.5637,0.4363,0.0766,0.2888,0.0594,0.0218,0.0044,
"25",211418,-0.0202,0.4611,0.5389,0,165900,0.6719,0.3281,0.0535,0.2303,0.0221,0.0248,0.0019,
"26",217507,0.008,0.3557,0.6443,0,172301,0.8118,0.1882,0.033,0.1037,0.0276,0.0214,0.0018,
"27",213276,-0.0116,0.4721,0.5279,0,159116,0.6077,0.3923,0.1161,0.2057,0.0519,0.0271,0.0031,
"28",211795,-0.0185,0.4049,0.5951,0,163366,0.7679,0.2321,0.0748,0.1126,0.0215,0.0232,0.0018,
"29",210667,-0.0237,0.579,0.421,0,154021,0.418,0.582,0.2237,0.2434,0.1059,0.0264,0.0036,
"30",215164,-0.0029,0.5261,0.4739,0,157210,0.4571,0.5429,0.2653,0.1363,0.132,0.0236,0.0021,
"31",220298,0.0209,0.4914,0.5086,0,163308,0.6655,0.3345,0.1225,0.0756,0.1202,0.0165,0.0021,
"32",220785,0.0232,0.5498,0.4502,0,155413,0.4435,0.5565,0.1353,0.0949,0.3179,0.0143,0.0021,
"33",218140,0.0109,0.5987,0.4013,0,161742,0.4256,0.5744,0.2017,0.2196,0.1486,0.0199,0.0033,
"34",216619,0.0039,0.6469,0.3531,0,163533,0.4612,0.5388,0.1888,0.2077,0.1349,0.0201,0.0035,
"35",220336,0.0211,0.6213,0.3787,0,168996,0.446,0.554,0.2016,0.1018,0.241,0.0179,0.0019,
"36",212521,-0.0151,0.56,0.44,0,163587,0.4889,0.5111,0.1119,0.0795,0.31,0.0129,0.002,
"37",213326,-0.0114,0.6207,0.3793,0,166915,0.5304,0.4696,0.1465,0.0599,0.2509,0.0147,0.002,
"38",215783,0,0.5942,0.4058,0,165901,0.5721,0.4279,0.1199,0.0786,0.2168,0.0133,0.0019,
"39",220720,0.0229,0.7167,0.2833,0,180468,0.4958,0.5042,0.1841,0.195,0.118,0.022,0.0024,
"40",211495,-0.0199,0.7067,0.2933,0,171883,0.6122,0.3878,0.1482,0.0987,0.1303,0.0174,0.002,
"",215785,0.0469,0.5196,0.4804,0,168626,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
